"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","9c960c8e28004bd5a05eefd2a29f1dfe",381.8,360,640,113.45321,567.26603,0.16759,1,1,0.4,0.4,23.44001,994.56001,-0.85719
"f","8c47753e45070e4943f563a1d0ab5c1d",122,360,640,82.02041,902.22444,0.45793,1,0,1.13514,1.45297,89.78513,625.68596,-0.04975
"f","8c47753e45070e4943f563a1d0ab5c1d",243.72223,360,640,102.59885,1846.77922,0.57792,1,0,1.29027,1.40126,305.69136,645.35803,-0.80595
"f","8d3933d1a04dc4fb821ed0340b1063a8",921.6087,360,640,92.30929,2123.11356,0.11895,1,0,0,0,893.58413,2044.86579,0.11696
"f","8d3933d1a04dc4fb821ed0340b1063a8",1417.88889,360,640,106.02905,5725.56866,0.12465,1,0,0.77694,0.77694,3842.55316,3309.04287,0.15857
"f","e2731596e61e854d401fbeabdec5bf54",648.85715,1024,600,73.08856,511.61986,0.41727,1,1,0.49935,0.49935,11222.20409,2481.14286,-0.45114
"f","58cda9784e306b50aebf68c79eab7414",123.71429,360,640,45.66036,639.24495,0.03942,1,0,6.40377,6.40377,85.34694,495.53062,-0.38891
"f","48e06318776abcebfed529fe58ad2fcf",1324,360,720,164.51538,2138.69986,0.22807,0.01569,0,0,0,386.08285,3806.74557,0.53149
"f","fcafb45fd3eda8100cfc558dfe9ba987",700.16667,360,640,125.99267,755.95598,0.24614,1,0,0,0,64.33334,3085.47223,-0.75565
"f","48e06318776abcebfed529fe58ad2fcf",133.55556,360,720,124.82661,1123.43944,0.41868,0.00785,0,0,0,379.55556,4201.33334,-0.8658
"f","8d3933d1a04dc4fb821ed0340b1063a8",2219.80001,360,640,231.13003,1155.65012,0.16309,1,0,7.49188,7.49188,438.96,4513.2,-0.80581
"f","0703d9e1462f9de372465d6e32e8a27d",462.5,360,640,450.59127,901.18254,0.96818,1,0,1.50001,1.50001,1444,4900,1
"f","06f1f73382724719c97b79b33ec5b2e2",3677.66667,360,640,75.74353,454.46117,0.43585,0.31373,0.31373,18.0344,18.0344,547.47223,175.13889,-0.96981
"f","48e06318776abcebfed529fe58ad2fcf",463.6087,360,720,141.58011,3256.34234,0.27658,0.01347,0,0,0,1379.98866,1925.45558,0.09017
"f","8d3933d1a04dc4fb821ed0340b1063a8",186.81819,360,640,81.495,896.4449,0.44361,1,0,6.90161,6.90161,162.6281,301.78513,-0.34846
"f","a33fb45ef2f51391e6ec33ebd68556e7",299,320,569,89.49861,89.49861,0.29933,1,0,0.66595,1.10991,0,0,nan
"f","5bba6cd749afaa3bcdd4e09dde9d7d84",719.8,320,570,301.09066,1505.45329,0.44217,1,0,1.46429,1.46429,91.84001,9892.56001,0.29867
"f","8d3933d1a04dc4fb821ed0340b1063a8",506.33334,360,640,313.7495,941.24848,1.7226,1,0,7.49188,7.49188,156.22223,1329.55556,-0.58243
